spotify_track_uri,master_metadata_track_name,master_metadata_album_artist_name,duration_ms,song_popularity,release_date,is_explicit
spotify:track:02tvc9CFnTyHuSRlGeNv9w,Corduroy Dreams,Rex Orange County,206974,0,2016-11-07,True
spotify:track:02uNz94xdQzo2b3tq7YDfF,River,Ibeyi,252642,0,2014-08-07,False
spotify:track:02vL85IGFIt1mhLWbdjgHU,Approaching Storm,Pam Caddis,0,0,0000,False
spotify:track:02vjciCqrrpX4aoObHEyzr,"Skyfall (feat. Gamby, Jelly Roll & Krizz Kaliko)",Stonebaby Sounds,267305,24,2021-03-22,True
spotify:track:02wKFSrMoXGcwdxBz4wU4z,Christine,Wazonek,233870,23,2017-10-27,False
spotify:track:02wNtFxlr9dLmZXKT5TIF5,Over the Moon,The Marías,182900,69,2018-09-28,False
spotify:track:02y4CADbBLKy1dpFsSeay5,Reflection,Fifth Harmony,188560,48,2015-01-30,False
spotify:track:034kY1hWsa4p2eozB4d3Md,in between,atlas,231935,28,2019-05-25,False
spotify:track:036GQb6SETOJJG8BxJTNxc,Chloe (You're the One I Want),Emblem3,222986,47,2013-07-26,False
spotify:track:03BZggizDe9Z7WWMT6Lj8U,Creepers (Young Love),Jessie Baylin,169733,6,2015-04-07,False
spotify:track:03DAv4zqTxtgpc68Xa5EOx,Daiquiri (Bossa Nova),Xavier Cugat & His Orchestra,175026,29,1963-01-01,False
spotify:track:03HCgI7hnbXdgQfVS5R6Na,Does It Make You Feel Good?,Confidence Man,290666,46,2019-11-18,False
spotify:track:03HRV5fc2001ECZcag8tNS,SSM2044,FIBRE,161481,12,2017-01-28,False
spotify:track:03INrUW4VCJpDXKQzNEaKS,Cevapsız Sorular,maNga,272040,63,2009-11-09,False
spotify:track:03IOfDZjjJNG8lDrpEB0ZS,Stoned Love - Single Version,The Supremes,177773,35,2005-04-26,False
spotify:track:03KSJ9ZfFu2JA0DEsEwpPD,Lay You Down Easy (8 Bit Version),8 Bit Universe,161403,0,2016-04-22,False
spotify:track:03KoulzXvIVI6vKQf8xw77,Feel My Love,Phebe Starr,215518,0,2016-03-11,False
spotify:track:03LlnXKqp8yvIaIEGmtFnf,Hurts,Emeli Sandé,238352,0,2016-09-16,True
spotify:track:03MOcbkkoNLjP0G91iODSB,Quando Quando Quando,Engelbert Humperdinck,201440,62,1968-08-03,False
spotify:track:03MWa1FMygR3RrQoQytsjS,Cudi Zone,Kid Cudi,259040,59,2009-01-01,True
spotify:track:03QMyZburv8IOVuEMDI521,The Things You Say - Dirty South Remix,Cicada,472453,11,2006-11-07,False
spotify:track:03RrrkKOzzxGI3fr6oaqHk,Pool - Live from Spotify House SXSW ’16,Porches,192438,4,2016-01-01,False
spotify:track:03Sd6IhiyTj0M3CnC2TpAF,For You,Groove Armada,456247,11,2018-05-25,False
spotify:track:03SvIAKeg8xkuOGShBrgwS,Guys My Age - 8 Bit Version,8 Bit Universe,212066,0,2017-01-18,False
spotify:track:03TLbjBFam0S4qf2H4rO7p,Caught Alone,Color Card,254012,2,2016-05-07,False
spotify:track:03ThZweiBWFP8tOGsk6QMO,Russian Cream,Key Glock,142497,70,2018-02-02,True
spotify:track:03U78i5xm64zlCupQwhazG,Juice,French Montana,157910,22,2018-09-20,True
